Willow's Reef Aquatics,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarium Plants,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE FOR ORDERS:,,,,,,,,,,,,,,,,,,,,,,,,,
*Bulk pricing applies to quantities of 12 or more units,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Last Updated: 11/7/2016,,,,,,,,,,,,,,,,,,,,,,
PRODUCT NUMBER,DESCRIPTION,NAME,RETAIL PRICE/UNIT,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Aluminum Plant,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ammania,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Anacharis - Wild,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Anacharis - Imported,$4.18 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Baby Tears,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Bacopa,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Caboma Furcata,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Caboma Green,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Cardamine,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Creeping Charlie,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Diandra,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Glossostigma,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Hedge - Cherry,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Hedge - Green,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Heteranthera,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Hornwort,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Hygroangustifolia,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Limnophila Hippuroides,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ludwigia - Broad,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ludwigia - Cuba,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ludwigia - Narrow,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ludwigia - Needle Leaf,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ludwigia - Ovalis,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Ludwigia -Peruensis,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Mayaca,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Moneywort,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Myrio - Filigree,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Myrio - Green,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Myrio - Red,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Myrio - UberRed,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Nesaea,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Nesaea Crassicaulis,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Nesaea Golden,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Parrots Feather,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Pennywort,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Pogo Erectus,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Potamogeton Gayi,$3.46 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Purple Waffle,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Rotala Indica,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Rotala Nanjenshan,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Rotala Wallichii,$3.28 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Telanthera,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Temple,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Temple Narrow,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,Bunch Plant,Wisteria - Emerged,$3.50 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Arrowhead Dbl Flowering,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Arrowhead Sagittaria,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Bog Bean,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Bloody Dock,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Cardinal Flower,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Cattail,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted","Cattail, Dwarf",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted","Cattail, Graceful",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted","Cattail, Narrow Leaf",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted","Cattail, Variegated",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
